class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QypSgehNnySf,villanella,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PfmM4nEirrZh,Andrea Calmo,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aGnhW9VeSa8N,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,based_on,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,text,,,,,,,,,,,"Occhi lusenti onesti e amorosetti
Occhi soavi e cari
Occhi sereni vagh'e lizadretti
Occhi bei neri e chiari
Daspuò che no ve vezo
Sto mal imò sto pezo
Deh occhi fé retorno
Azzò no mora un zorno.",,,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SUJFCY5REehL,Venetian,,,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B23Vk5xdu2BR,bizzarria,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VyiHhzpodNyS,eye,,,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,identifier,,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F185050000010101_000000002400C,,
MusicComposition,Occhi lusenti onesti e amorosetti (Agostini),Occhi lusenti onesti e amorosetti (Agostini).md,Occhi lusenti onesti e amorosetti (Agostini),RQVGgBMGBfdm,482763554919385461130,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM
