class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label
Concept,bizzarria,"L’esser bizzarro, stranezza, stravaganza, originalità",,bizzarria,bizzarria.md,KbxBVs3YAzhk,363101434391488047837,identifier,https://www.treccani.it/vocabolario/bizzarria/,,
Concept,bizzarria,"L’esser bizzarro, stranezza, stravaganza, originalità",,bizzarria,bizzarria.md,KbxBVs3YAzhk,363101434391488047837,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ChCc48vFCEJk,Treccani Vocabulary
