class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9PZmwTEUKers,Michael Maier,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gq3x2rvyD6i7,IV,62-65,Cantilenae intellectuales,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,based_on,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,derivative_work,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TkUXmQEgY6Yz,astrology,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,poetic_type,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,metre,,,,,,,,,,,,,,,,,,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N9C8b89MB3K9,Moon,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZsNG8yssbKzY,animal,,,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5Wz2ksVXGvty,Latin,
PoeticWork,Orbe lunari ferae,Orbe lunari ferae.md,Orbe lunari ferae,hnupGJUDPPMg,821058640646796329018,text,,,,,,,,,,,,,,,,,,,,
