class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,identifier,https://edit16.iccu.sbn.it/titolo/CNCE033937,,,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,title,,,,,,Madrigali di Giouambatista Strozzi,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,inception,,,,,,,1593.0,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE033937,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",1593.0,https://viewer.onb.ac.at/10802DA4/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10802DA4,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QQU75XRhzWKV,Giovanni Battista Strozzi,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,subject,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali di Giovambattista Strozzi,,,Madrigali di Giovambattista Strozzi,Madrigali di Giovambattista Strozzi.md,G6nQquS3B9os,290632741239673991461,depicts,,,,,,,,,,,,,,,,,,,,,
