class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S2kSCsCknAf3,(Sacchini 2020),,,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c6NfMc4aLaby,Giambattista Marino,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,part_of,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7LXFV3dSGChX,exoticism,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,,
PoeticWork,"Nera sì, ma se' bella, oh di natura",,,"Nera sì, ma se' bella, oh di natura","Nera sì, ma se' bella, oh di natura.md",6m2oMgogKUD2,98116085610685438638,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
