class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_pseudonym,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,location,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",123.0,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,member,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hL5fpx5U8GsZ', 'label': 'OPAC SBN'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dDWhRgLe4fNW,Furioso,Leandro Bovarini,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,member,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6jc9ARyD7cMF,Forsennato,Sforza degli Oddi,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CGXVU36q9thw,Scioperato,Gaspare Murtola,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,member,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QEHnALkfAA5F,,Ippolita Benigni Manfredi,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,member,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UyK6rcL5shtk,Sonnacchioso,Federico Zuccari,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Insensati di Perugia,,,Accademia degli Insensati di Perugia,Accademia degli Insensati di Perugia.md,UJz77hnWWSNh,542682180676534349970,notable_work,,,,,,,,,,,,,,,,
