class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,identifier,http://www.wikidata.org/entity/Q3107097,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,described_by_source,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,work_location,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,member_of,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,occupation,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,related_to,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,notable_work,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,interested_in,,,,,,,,,,,,,
Agent,Giovanni Battista del Tasso,,,Giovanni Battista del Tasso,Giovanni Battista del Tasso.md,g2tcFJc2c3RY,784485583607611854801,catalog_identifier,,,,,,,,,,,,,
