class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeHYJAGwEQHj,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QJd3XfmEAuxc', 'label': 'founder'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Ggw3HkdGbzX', 'label': '(Procaccioli 2017)'}]",Accademia dello Sdegno di Roma,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18119.0,,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140849598,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,identifier,,,,,,,,,,,,,,,,,,https://lyra.unil.ch/agents/340,,
Agent,Tommaso Spica,Tommaso Spica.md,Tommaso Spica,c5MGh5tVD8CQ,702829010517441027766,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra
