class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034699,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,title,,,,,"Rime di diuersi eccellenti autori bresciani, nuouamente raccolte, et mandate in luce da Girolamo Ruscelli tra le quali sono le rime della signora Veronica Gambara, & di m. Pietro Barignano, ridotte alla vera sincerità loro",,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,inception,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE034699,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2VQsNtDVwP', 'label': 'Plinio Pietrasanta'}",1554.0,https://www.digitale-sammlungen.de/de/view/bsb10190079,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10190079/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CDXrJcdKgNWU,Fortunato Martinengo Cesaresco,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,has_part,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,D7Lfbq5eiaTi,228923580800508227863,based_on,,,,,,,,,,,,,,,,,,,,
