class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_holding_institution,has_version_note,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,identifier,https://edit16.iccu.sbn.it/titolo/CNCE037029,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,identifier,https://rism.online/sources/990009109,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV04370010,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,title,,,,,,Il primo libro delle villote di Aluuise Castellino chiamato il Varoter venetiano da lui composti li versi et il canto,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,inception,,,,,,,1541.0,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",Cantus,https://viewer.onb.ac.at/1322B5D9,https://api.onb.ac.at/iiif/presentation/v3/manifest/1322B5D9,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",Altus,https://viewer.onb.ac.at/11784762,https://api.onb.ac.at/iiif/presentation/v3/manifest/11784762,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",Tenor,https://viewer.onb.ac.at/11784740,https://api.onb.ac.at/iiif/presentation/v3/manifest/11784740,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE037029,1541.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",Bassus,https://viewer.onb.ac.at/11784784,https://api.onb.ac.at/iiif/presentation/v3/manifest/11784784,,,,,,,,
NotatedMusic,Il primo libro delle villote di Aluvise Castellino,,,Il primo libro delle villote di Aluvise Castellino,Il primo libro delle villote di Aluvise Castellino.md,U9KKhKWyxp8N,539177576529703448396,contributor,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/do9B9qUzrfei,Ercole II d'Este,,,,,
