class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,described_by_source_value,described_by_source_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T4QqNLwvD5Lj,comedy,,,,,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,described_by_source,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,title,,,,,"L'oliuastro o vero il poeta sfortunato poema fantastico. All'altezza serenissima di Ferdinando 2. gran duca di Toscana. Autore Gio. Battista Andreini, trà comici detto Lelio",,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,inception,,,,,,1642.0,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,has_version,,,,,,,http://id.sbn.it/bid/UM1E009815,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr', 'label': 'Bologna'}]",,1642.0,https://upload.wikimedia.org/wikipedia/commons/9/98/L%27Olivastro%2C_overo%2C_Il_poeta_sfortvnato_-_poema_fantastico_%28IA_lolivastrooveroi00andr%29.pdf?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9fVnz67YHU33,Ferdinando II de' Medici,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cS2ZRx7FP2Cu,Giambattista Andreini,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,based_on,,,,,,,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,has_part,,,,,,,,,,,,,,,,,,,,,,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,
Book,L'olivastro ovvero il poeta sfortunato,L'olivastro ovvero il poeta sfortunato.md,L'olivastro ovvero il poeta sfortunato,2nqekxRwDTzF,16232080717765670140,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
