class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,country_label,identifier_value
Place,Pavia,Pavia.md,Pavia,5bXhk8iPrKqE,74043420086811023577,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Crg84MViZYxd,city,,,
Place,Pavia,Pavia.md,Pavia,5bXhk8iPrKqE,74043420086811023577,country,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R4DkJ4Zkas7S,Italy,
Place,Pavia,Pavia.md,Pavia,5bXhk8iPrKqE,74043420086811023577,identifier,,,,,http://www.wikidata.org/entity/Q6259
