class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034685,,,,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,title,,,,,,"Del tempio alla diuina signora donna Giouanna d'Aragona, fabricato da tutti i più gentili spiriti, & in tutte le lingue principali del mondo. Prima parte",,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,inception,,,,,,,1554.0,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE034685,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh75nfZH3HZA', 'label': 'Plinio Pietrasanta'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1554.0,https://books.google.be/books?id=pieUY6J0_SgC,https://public-api.prod.os01.ocp.cineca.it/api/v1/apipublic/resource/3A7DA31E88C94EF0B9E85611EC20825D/manifest/11DA2E15D10E4BD893F78A959D3DF8E1,Google Books provides a reprint from 1555,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FAWFvt5sQcWt,Giovanni Battista Giraldi,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/APcw3ZUjQEAq,Girolamo Muzio,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WVoqVbuogPXu,Fausta Tacita,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hybEFcuqMtfz,Benedetto Varchi,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ds7Pd3msZjeC,Annibale Caro,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EKBsStjsf66c,Alessandro Piccolomini,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/drasiKYKtnDo,Giovanna d'Aragona,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8', 'label': 'Girolamo Ruscelli'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd,editor,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aZcsYMk8W84Z,salon,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Del tempio alla divina signora donna Giovanna d'Aragona,,,Del tempio alla divina signora donna Giovanna d'Aragona,Del tempio alla divina signora donna Giovanna d'Aragona.md,ENq7SsHPfC3T,255170589810659743402,based_on,,,,,,,,,,,,,,,,,,,,,
