class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,opposite_of_value,opposite_of_label
Concept,employee,,,employee,employee.md,dgKg5TTeCUfa,736125978750599611034,identifier,http://www.wikidata.org/entity/Q703534,,,
Concept,employee,,,employee,employee.md,dgKg5TTeCUfa,736125978750599611034,described_by_source,,,,
Concept,employee,,,employee,employee.md,dgKg5TTeCUfa,736125978750599611034,opposite_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eHyTL2CjigPa,employer
