class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,motto_reference
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,instance_of,,,[[academy]],,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,inception,,,,1593.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bXhk8iPrKqE,Pavia,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",163.0,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,member,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intenti di Pavia,,,Accademia degli Intenti di Pavia,Accademia degli Intenti di Pavia.md,GfXTddPrxyYx,302484879527078448189,motto,,,,,,,,,,,,,,,,Per mutua nixi,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]"
