class,label,base_name,filename,id,n_id,property,instance_of_value,subclass_of_value
Concept,ars combinatoria,ars combinatoria,ars combinatoria.md,bnvEv4i9tErt,697245877973494385546,instance_of,,
Concept,ars combinatoria,ars combinatoria,ars combinatoria.md,bnvEv4i9tErt,697245877973494385546,subclass_of,,
