class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,identifier,http://www.wikidata.org/entity/Q21545041,,,,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,described_by_source,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,related_to,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,notable_work,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,interested_in,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Bonciari,,['Marco Antonio Bonciario'],Marco Antonio Bonciari,Marco Antonio Bonciari.md,DH3qSsMsj5vv,232437036037686580603,catalog_identifier,,,,,,,,,,,,,,,,,
