class,aliases,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,JRHGHuFJvBqm,338598027930305409034,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TYSwPAjmpAM9,philosophical concept,,
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,JRHGHuFJvBqm,338598027930305409034,subclass_of,,,,
Concept,['serious play'],"Use of games in order to acquire new knowledge, or understand serious topics through a playful attitude.",serio ludere,serio ludere.md,serio ludere,JRHGHuFJvBqm,338598027930305409034,identifier,,,,
