class,description,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,9R22nChmKScL,152778152257185406539,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XraWsE54wKL,natural entity,,
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,9R22nChmKScL,152778152257185406539,subclass_of,,,,
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,9R22nChmKScL,152778152257185406539,identifier,,,,http://www.wikidata.org/entity/Q1519541
