class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,depicts_value,depicts_label,metre_value,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2bhdRbc5uz6o,villanella,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SkU8K6nXSqeb,Andrea Calmo,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hiE7NEWM6ThN,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,text,,,,,,,,,,,"Son vecchio innamorao
E volentiera,
M'alliegro e canto sono de lauto
E non in tel mio horto,
Sunado fighi
I bianchi negri e zali.
Può tutti quanti i dago per tributo
Al viso de Lionora.
Ch'amando me desseca de hora in hora.",,,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UzQqDq2qMKwd,Venetian,,,,,,,,,
MusicComposition,Son vecchio innamorao (Agostini),Son vecchio innamorao (Agostini).md,Son vecchio innamorao (Agostini),6QVFxHipe8JB,90681377019531924648,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,
