class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpZK8ZttRzyy,Lucia Albani Avogadro,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,part_of,,,,,,,,Lucia Albana Avogadra.,56.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/D7Lfbq5eiaTi,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b4iEGX754ExJ,chain,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n4nZUvENWhDP,Fortuna,,,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,text,,,,,,,,,,,,,,,,,,,,,"Se SATIA ancor non sie crudel Fortuna
Di contrastar' ogn'hora a' miei desiri,
E colmarmi di doglia, e di martiri,
Di novo contra me tue forze aduna.

Che non sia mai però mai d'Amor digiuna
La mente mia, e pria pianti, e sospiri
Saranno in Ciel, né più faran suoi giri
Le stelle, e fia del Sol la luce bruna;

Ch'Amor disciolga la forte catena,
Con cui preso, e legato tiemmi il core,
O ch'in me novo ardor' haggia mai loco.

Perché'l mio destin vuol, ch'ogni mia pena
Termini, amando infin' a l'ultim'hore,
Chi fu prima cagion del mio gran foco.",,
PoeticWork,Se satia ancor non sie crudel Fortuna,,,Se satia ancor non sie crudel Fortuna,Se satia ancor non sie crudel Fortuna.md,SUnR7QRYWf9w,504956501790727084490,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
