class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,identifier,https://lyra.unil.ch/agents/307,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6VsWMJ2RVTg7,EDIT16,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2uSronTLfPLh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,related_to,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15946
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,HyW7U2u5ZqMV,329628780564366030915,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6VsWMJ2RVTg7', 'label': 'EDIT16'}",CNCA6229
