class,base_name,filename,id,label,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,member_of,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mM4gT9oXJYNU,Christian nun,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,related_to,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,notable_work,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,interested_in,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,present_in_work,,,,,,,,,,,,,,,,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2707991,,
Agent,Vittoria Aleotti,Vittoria Aleotti.md,jQTnqJe6SNWq,Vittoria Aleotti,854200410789236971226,described_by_source,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018)
