class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,title_value,inception_value,has_version_publication_date,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,identifier,https://edit16.iccu.sbn.it/titolo/CNCE007713,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,described_by_source,,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,instance_of,,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,title,,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,inception,,,,,1585.0,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,has_version,,,,,,1585.0,https://edit16.iccu.sbn.it/titolo/CNCE007713,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,contributor,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,subject,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hUML8NJyY29w,docta ignorantia,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,based_on,,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,catalog_identifier,,,,,,,,,,,,,,,
Book,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico.md,5Lj4XkUeL3FB,68684990592342850446,has_part,,,,,,,,,,,,,,,
