class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/041210000101_PPPP00117901C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UysXgbEHCAbU,Bartolomeo Ferrini,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BzTmc6rW2imh,76.0,Bartolomeo Ferrino.,Rime scelte de' poeti ferraresi antichi e moderni,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4jQ3H5yuexkm,flame,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dLYDrPERbWVH,flying,,,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Stella, che fra le stelle",,,"Stella, che fra le stelle","Stella, che fra le stelle.md",Zc588c7NUicV,652041765813358656498,text,,,,,,,,,,,,,,,,,,,,,,,,,"Stella, che fra le stelle,
Quasi un Sol siedi, e con duo vivi Soli
Al Sol la luce, & a me il core involi,
Se Tu fra l'altre belle
Fossi o men bella, o più cortese un poco,
Cenerer è tal, che saria ancora foco."
