class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,inception,,,,,1572.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RvnTvKmX42tn,Heraklion,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",453.0,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,member,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Stravaganti di Candia,,,Accademia degli Stravaganti di Candia,Accademia degli Stravaganti di Candia.md,TeKK8xs3gmdU,529040580018324304235,motto,,,,,,,,,,,,,,,,,
