class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9g6i2k2ME43Z,Brescia,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,member_of,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/k5sQpnaVMGKA,theologian,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CMnbQVMJqaVa,heretic,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,related_to,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrTwYNz6rjM4,heterodoxy,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3765756,,
Agent,Giorgio Siculo,Giorgio Siculo.md,Giorgio Siculo,8wdtNfa9jiLH,143231078938020259218,described_by_source,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020)
