class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=22689,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8rZqMyeBcBSU,Pietro Manelli,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LSF6bThbK7xx,Tullia d'Aragona,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,part_of,,,,,,,,11.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/54ahrKe9RtC2,A Pietro Manelli.,Rime della signora Tullia di Aragona et di diversi a lei,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8sSx8HhcDxv6,anaphora,,,,,,,,,
PoeticWork,Ov'è (misera me) quell'aureo crine,,,Ov'è (misera me) quell'aureo crine,Ov'è (misera me) quell'aureo crine.md,iiwoY8aSn9wQ,840259029647912236156,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfQkYfWDVNZC,departure,,,,,,,,,
