class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_note,has_version_holding_institution,has_version_IIIF_manifest,contributor_value,contributor_role,contributor_note,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026144,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,described_by_source,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,title,,,,,Rime de la signora Laura Terracina,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,inception,,,,,,1548.0,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,has_version,,,,,,,http://badigit.comune.bologna.it/books/sol/36001_INV.pdf,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1553.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE054756,Contribution by Anton Francesco Doni,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,has_version,,,,,,,https://viewer.onb.ac.at/10A5531C/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1548.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",https://edit16.iccu.sbn.it/titolo/CNCE026144,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10A5531C,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",Contribution in the 1553 reprint.,Anton Francesco Doni,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,contributor,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",,Laura Terracina,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,subject,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Rime de la signora Laura Terracina,,,Rime de la signora Laura Terracina,Rime de la signora Laura Terracina.md,NdoMgsS6yGTo,425677173384948350637,based_on,,,,,,,,,,,,,,,,,,,,,
