class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,interested_in_reference,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,identifier,http://www.wikidata.org/entity/Q6499496,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AEYAQZcHRz3S,1550.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Incogniti di Napoli,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kFghMqXMQGVb,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6', 'label': '(Di Maro 2021)'}]",Dianora Sanseverino,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,notable_work,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,interested_in,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,interested_in,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipSJVTEhEkc6', 'label': '(Di Maro 2021)'}]",,,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16062.0,
Agent,Laura Terracina,,,Laura Terracina,Laura Terracina.md,WsQJYjxufGKj,595686405362234104640,present_in_work,,,,,,,,,,,,,,,,,,,,,,,,,,
