class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EZyWiRFbTrfU,De l'infinito universo et mondi,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f2FEyateEsYj,astronomy,,,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oMntA8sUyuyk,infinity,,,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Mio passar solitario a quelle parti,,,Mio passar solitario a quelle parti,Mio passar solitario a quelle parti.md,JvFQe8MJKqzV,349085222565012408543,text,,,,,,,,,,,,,,,,,,,,,,"Mio passar solitario a quelle parti,
A quai drizzaste già l'alto pensiero:
Poggia infinito: poi che fia mestiero
A l'oggett'agguagliar l'industrie, e l'arti.
	
Rinasci là, là su vogli allevarti
Gli tuoi vaghi pulcini, homai ch'il fiero
Destin hav'ispedito il corso intiero
Contra l'impresa, onde solea ritrarti.
	
Vanne da me, che più nobil ricetto
Bramo ti godi: e harrai per guida un dio,
Che da chi nulla vede è cieco detto.
	
Il ciel ti scampi, et ti sia sempre pio
Ogni nume di questo ampio architetto:
Et non tornar a me, se non sei mio."
