class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RPt3AF9FDvgd,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,part_of,,,,,,,,Veronica Gambara.,56.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,1.0,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/e4z5crPAxqJa,religion,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,text,,,,,,,,,,,,,,,,,,,,,,"Nella secreta, e più profonda parte
Del cor, là dove in schiera armati stanno
I pensieri, e i desiri, e guerra fanno
Sì rea, che la ragion spesso si parte;

L'uomo interno ragiona, ed usa ogn'arte
Per rivocarla, e farle noto il danno:
Ma dietro all'altro esterno i sensi vanno
Senza al spirto di lor punto far parte.

Di carne sono, e però infermi, e gravi
Capir non ponno i belli alti concetti,
Che manda il spirto, a chi di spirto vive.

Guida dunque, Signor, pria, che s'aggravi
D'error più l'alma, alle sacrate rive
I miei, senza il tuo aiuto, iniqui affetti.",,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",5zQTkUiwoY4J,82324167154698487000,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
