class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,identifier,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017),,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HXQyc85NviAY,manuscript,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,title,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1617.0,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,has_version,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2crP46brsdr4,Paolo Guidotti,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SeFHUS9MYJuk,Crusades,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,has_part,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,L69SPYimAHct,372941508040320260006,based_on,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Lv8EW8V8UKXk,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso"
