class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F005930010,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,title,,,,,,"Rime diverse del Mutio Iustinopolitano. Tre libri di arte poetica. Tre libri di lettere in rime sciolte, La Europa. Il Davalo di Giulio Camillo tradutto. Con privilegio del sommo pontefice Giulio III & dello illustriss. Senato Veneto & d'altri prencipi",,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,inception,,,,,,,1551.0,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UwTkUJm3SQTb', 'label': 'Austrian National Library'}",https://viewer.onb.ac.at/109B7274/,https://api.onb.ac.at/iiif/presentation/v3/manifest/109B7274,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",1551.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dt83qSxSrD7X', 'label': ""Gabriele Giolito de' Ferrari""}",,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/APcw3ZUjQEAq,Girolamo Muzio,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,subject,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,based_on,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,5iXwaGiNygMt,76579194140596283417,has_part,,,,,,,,,,,,,,,,,,,,
