class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F83FXwvvhCvA,Giovanni Battista Maurizzi,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,part_of,,,,,,,,Dell'Immaturo,9.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGHkPLurgTyx,Ricreazioni amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BbJB7Gc6gwek,canzone,,,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/494MWJWBbbLj,eye,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n8dKKupcf2zK,flying,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Occhi amorosi, e vaghi",,,"Occhi amorosi, e vaghi","Occhi amorosi, e vaghi.md",CFCeKUUPGuoH,211132992449410914012,text,,,,,,,,,,,,,,,,,,,,,,,"Occhi amorosi, e vaghi,
Luci de l'alma mia,
Che vita ha sol quanto si specchia in  voi,
Piacciavi ch' io m' appaghi
In rimirarvi pria,
Ch'a lodar venga il vostro bel fra noi,
Che così scorto poi
Salirò in alto tanto
Con l'ali del pensiero,
Che ritornando spero
Portar cose sì nove in questo canto,
Ch'udendole ogni core
Meco s'infiammi d'immortale ardore."
