class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,identifier,http://www.wikidata.org/entity/Q141081193,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng,Italian Academies Database,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3,Italian Women Writers,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,work_location,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fFfSZRnjSHok,1609.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Affidati di Pavia,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7f7aTSJBCVeC,musician,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,related_to,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0476
Agent,Ippolita Benigni Manfredi,,,Ippolita Benigni Manfredi,Ippolita Benigni Manfredi.md,YSZok6nzRFh6,627967788648886765147,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16293
