class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,part_of,,,,,,Canto IV. Chi nemico è di donna in altro ha cura.,12.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfquJ8xytX6t,Discorso sopra tutti li primi canti d'Orlando Furioso,,,,,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TNEkus8TKX7L,querelle des femmes,,,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dCJB7mhuqvi3,misogyny,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FfsDH2wWMAGN,lightning,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/boAQDbHA6TD2,rage,,,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,text,,,,,,,,,,,,,,,,,,,,"Vorrei parlar, ma l'ira in dir m'intoppa,
Poiché sola difendo il nostro sesso,
Già il desiderio mio brama, e galoppa
Di vendicarsi, e pur non m'è concesso
Contra costor, ch'han sì la mente zoppa,
Appo noi donne; in darne o'traggi spesso,
Ma spero, che dal ciel verrà saetta,
Et credo che di noi farà vendetta.",,
PoeticWork,"Vorrei parlar, ma l'ira in dir m'intoppa","Vorrei parlar, ma l'ira in dir m'intoppa.md","Vorrei parlar, ma l'ira in dir m'intoppa",QYmEGUNSoRzP,465125275877183352144,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
