class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gnchST7eRBTF,"(Everson, Reidy, and Sampson 2020)",,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,instance_of,,,,[[academy]],,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,inception,,,,,1654.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",99.0,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kdhP2KUiWAF9,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Vittoria della Rovere,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,hCGJsXiXMk7L,808511229286078926246,notable_work,,,,,,,,,,,,,,,,,
