class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,identifier,https://rism.online/sources/990052508,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV16670010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045257,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,title,,,,,,Il quarto libro de madrigali di Marc'Antonio Pordenon padouano. Nouamente composti & dati in Luce. A cinque voci,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE045257,1573.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/btogkstkNfhe', 'label': 'Antonio Gardano'}",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_U/U075/,Cantus is missing. It can be retrieved at the Austrian National Library,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PSizCrgD886r,Marc'Antonio Pordenone,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGvRViUmPajp,quintus
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzJ68XN6VVsG,tenor
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus
NotatedMusic,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,,,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci,Il quarto libro de madrigali di Marc'Antonio Pordenon. A cinque voci.md,jkTazJcNpV85,861439757861536498524,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus
