class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AYqoxRbyDh4i,pastoral drama,,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,title,,,Fillide. Egloga pastorale. Di Camillo Della Valle ..,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,inception,,,,1584.0,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,has_version,,,,,https://edit16.iccu.sbn.it/titolo/CNCE016589,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}",1584.0,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/45CaEEfabDR5,Camillo Della Valle,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,subject,,,,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,based_on,,,,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,catalog_identifier,,,,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,has_part,,,,,,,,,,,,,,,,,,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ndCJMutbF4oJ,Filli,,
Book,Fillide. Egloga pastorale. Di Camillo Della Valle,Fillide. Egloga pastorale. Di Camillo Della Valle.md,Fillide. Egloga pastorale. Di Camillo Della Valle,ep87S24LfQPo,759584642233015858374,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
