class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XWHYnvEkWZX6,,Intentio XIII. N,De umbris idearum,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,astrology,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,poetic_type,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/foPko6Zoq7GG,hexameter,,,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MhXzsoYsnh3E,zodiac,,,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7yyPzh3hWuXs,Latin,
PoeticWork,"Dux gregis, armenti regem sublatus in iram",,,"Dux gregis, armenti regem sublatus in iram","Dux gregis, armenti regem sublatus in iram.md",2pQnTYaHUWhy,16798218213696516154,text,,,,,,,,,,,,,,,,,,,,,,,"Dux gregis armenti regem, sublatus in iram
In geminosque pedes, impete fronte ferit.
Vindex, mente vacans, hinc Taurus concitus ictu
Irruit in Geminos impaciente fratres.
Germanos iuvenes affines protinus undae
Excipiunt. Cancer rosida prata petit.

Repens obliquo lympharum Cancer alumnus
Villosi vultum forte Leonis adit.
Percitus inde Leo crinitos surgit in harmos,
Unde vagans rapidae visa Puella ferae est.
Hanc petit, illa fugit; quae gressu insana fugaci
Librantem incurrit Persica lance virum.
Aestuat hic, cupidis quem dum complexibus haeret,
Attriti Vermis cuspis adunca ferit.

Formidans laetum, medicas dum currit ad artes,
Pone Sagittiferum sentìt adesse virum.
Qui modo stuprata, quam credit, virgine laesus
Quo petit hunc iaculo, vulnerat ecce Caprum.
Ut primum intrusum ferrum persensit inique,
Effugit in rapidas praecipitosus Aquas;
Sic caper, a gurgite tractus aquarum,
Insueta inclusis Piscibus esca datur."
