class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,identifier_value
Place,France,France.md,France,UbaRNRNEbruG,548686346709311042063,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AyrcL5v7u9qb,country,,
Place,France,France.md,France,UbaRNRNEbruG,548686346709311042063,country,,,,
Place,France,France.md,France,UbaRNRNEbruG,548686346709311042063,identifier,,,,http://www.wikidata.org/entity/Q142
