class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,identifier,http://www.wikidata.org/entity/Q1873744,,,,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R66mFXC4Cubc,(Ross 2010),,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5jRWaYbHHcZc,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SqGAEzjPvbze', 'label': 'visitor'}",1590.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia Veneziana,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,related_to,,,,,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,notable_work,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WShmLq8ZHqk5,"Le nobiltà, et eccellenze delle donne",,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,notable_work,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/564DtyF99hEw,Arcadia felice,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,interested_in,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Marinella,,,Lucrezia Marinella,Lucrezia Marinella.md,PBEhrmkec4qK,436692856353087116174,present_in_work,,,,,,,,,,,,,,,,,,,,,,,
