class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,has_version_permalink,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,identifier,http://id.sbn.it/bid/VEAE003647,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,title,,,,,La Venetia edificata poema eroico di Giulio Strozzi,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,inception,,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FLES2CoRQYLJ', 'label': 'Giovanni Battista Ciotti'}",1621.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://www.digitale-sammlungen.de/en/view/bsb10758155,http://id.sbn.it/bid/VEAE003647,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758155/manifest,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/np57ChPdvoRS', 'label': 'engraver'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bLJ86Xgq2yk2,Francesco Valesio,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FseFVcsndDRv,Giulio Strozzi,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,has_part,,,,,,,,,,,,,,,,,,,,
Book,La Venetia edificata,,,La Venetia edificata,La Venetia edificata.md,Hr9WcLu6ZZUq,326963745670244803460,based_on,,,,,,,,,,,,,,,,,,,,
