class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label,catalog_identifier_value,catalog_identifier_source
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,identifier,http://id.sbn.it/bid/VEAE005594,,,,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AKdqXvjEKiNE,(Lucioli 2024),,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SnfsAAfiqpPy,(Ray 2015),,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,title,,,,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi. Dedicato all'ill.ma & ecc.ma sig.ra D. Costanza Colonna Sforza marchesa di Carauaggio,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,inception,,,,,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,has_version,,,,,,,,http://id.sbn.it/bid/VEAE005594,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE', 'label': 'Roma'}]",1606.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nZ9TNKsGRPEX', 'label': 'Lepido Faci'}",https://books.google.be/books?id=F-viq7OXyNoC,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c6ABW9ysUosu,Costanza Colonna,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jUkaVk3KRX7R,Margherita Sarrocchi,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,AmmUd8Ddd3Qw,180930711053340663950,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,
