class,aliases,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_reference,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,identifier,http://www.wikidata.org/entity/Q3107000,,,,,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HQ5MLFdsoJ6d,(Urbaniak 2018),,,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeHYJAGwEQHj,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia dello Sdegno di Roma,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HQ5MLFdsoJ6d', 'label': '(Urbaniak 2018)'}]",commentator,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,,poet,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,related_to,,,,,,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HQ5MLFdsoJ6d', 'label': '(Urbaniak 2018)'}]",chivalric poem,,,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15713.0,
Agent,,Giovanni Andrea dell'Anguillara,Giovanni Andrea dell'Anguillara.md,Giovanni Andrea dell'Anguillara,cbdksKHcMGHH,713794773876974417418,present_in_work,,,,,,,,,,,,,,,,,,,,,,
