class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,identifier,http://www.wikidata.org/entity/Q168962,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,described_by_source,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,work_location,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,member_of,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,related_to,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,interested_in,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,YvLbpbXURbTT,638020824579219329677,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15312.0
