class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,notable_work_label,related_to_value,motto_value
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,identifier,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd,(Faini 2020),,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,inception,,,,,,1551.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,dissolved,,,,,,,,1553.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,location,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,official_website,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",369.0,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,member,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",heterodoxy,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,notable_work,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d564otbkr4yr,Rime di diversi eccellenti autori bresciani,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,related_to,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Dubbiosi di Venezia,,,Accademia dei Dubbiosi di Venezia,Accademia dei Dubbiosi di Venezia.md,maA7SzVynMx7,898980179703864965204,motto,,,,,,,,,,,,,,,,,,,,,,
