class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,identifier,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,described_by_source,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,work_location,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,member_of,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,occupation,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,related_to,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,notable_work,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,interested_in,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,catalog_identifier,,,,,,,,,,,,,,
Agent,Vincenzo Panciatichi,,,Vincenzo Panciatichi,Vincenzo Panciatichi.md,fXurj2BzALG4,774356615970904579625,present_in_work,,,,,,,,,,,,,,
