class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,identifier,http://www.wikidata.org/entity/Q2625057,,,,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,member_of,,,,,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WhwwfwR9cjj9,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XBXTcUPpGVNf', 'label': 'child'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR', 'label': '(Nocerino 2014)'}",Adriana Basile,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Leonora Basile-Baroni,Leonora Basile-Baroni.md,Leonora Basile-Baroni,E8mgB2xuXDhn,250080363504419306768,present_in_work,,,,,,,,,,,,,,,,,,,,
