class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,based_on_value,based_on_label,derivative_work_value,subject_value,poetic_type_value,metre_value,depicts_value,language_value,text_value
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F043200000010101_000000159500C,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Amk76nLGSdfy,canzonetta,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3biSTkoAeBRq,Claudio Merulo,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WH5WsLuVqNLf,Di Claudio Merulo da Correggio il primo libro de madrigali a tre voci,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DkEUwXZXnYLV,Che pena si può dire,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,derivative_work,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,subject,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,poetic_type,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,metre,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,depicts,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,language,,,,,,,,,,,,,,,,,,,
MusicComposition,Che pena si può dire (Merulo),Che pena si può dire (Merulo).md,Che pena si può dire (Merulo),jhf8ziMTC38o,860426979066680903181,text,,,,,,,,,,,,,,,,,,,
