class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_permalink,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value,identifier_value
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,title,,,"Rime di m. Domenico Mantoua, gentil'huomo bresciano",,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,inception,,,,1554.0,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,has_version,,,,,1554.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh75nfZH3HZA', 'label': 'Plinio Pietrasanta'}",https://edit16.iccu.sbn.it/titolo/CNCE034664,https://lyra.unil.ch/books/134/images,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,subject,,,,,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,has_part,,,,,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,based_on,,,,,,,,,,,,,,,,
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,identifier,,,,,,,,,,,,,,,,https://lyra.unil.ch/books/134
Book,Rime di m. Domenico Mantova,Rime di m. Domenico Mantova.md,Rime di m. Domenico Mantova,WXzKXe2ka6CJ,588661797709769386195,identifier,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE034664
