class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_publisher,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,identifier,https://edit16.iccu.sbn.it/titolo/CNCE074091,,,,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR,(Artese 1983),,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,title,,,,,,Madrigali del caualier Gio. Maria Bonardo fratteggiano. Dedicati alla illustrissima signora Lucretia Gonzaga marchesana,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,inception,,,,,,,1563.0,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,has_version,,,,,,,,1598.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE006858,https://www.google.be/books/edition/Madriagli_Nuouamente_ampliati_reuisti_co/uulmAAAAcAAJ,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GyUkKaJLbbn9', 'label': 'Agostino Zoppini'}",2nd edition.,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,has_version,,,,,,,,1563.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE074091,https://www.google.be/books/edition/Madrigali_Del_Cavalier_Gio_Maria_Bonardo/K382l3q5DfkC,,1st edition.,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eguk9iCCpewq,Lucrezia Gonzaga,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/44NBTod6K3M3,Giovanni Maria Bonardo,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,Xu3FeGq6EtRs,616912667728324681609,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aZcsYMk8W84Z,salon,,,
