class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,identifier,http://www.wikidata.org/entity/Q136651592,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,work_location,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,member_of,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fgb2i9ph7wYA,knight,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b2Pjd8pbW3VZ', 'label': 'creation'}",Torquato Tasso,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,notable_work,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,interested_in,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Tancredi,,,Tancredi,Tancredi.md,9NZf7yFeJSxK,151892995748864604731,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso"
