class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,identifier,http://www.wikidata.org/entity/Q257579,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,described_by_source,,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9xbm8Z3DLhyp,House of Medici,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,related_to,,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,notable_work,,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,interested_in,,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Cristina di Lorena,,['Christina of Lorraine'],Cristina di Lorena,Cristina di Lorena.md,oNccxBG2giXK,936076005995452260062,present_in_work,,,,,,,,,,,,,,,,,
