class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,flying,,"['fly', 'volare', 'involare', 'flight']",flying,flying.md,dLYDrPERbWVH,728964960364886200053,identifier,http://www.wikidata.org/entity/Q206021,
Concept,flying,,"['fly', 'volare', 'involare', 'flight']",flying,flying.md,dLYDrPERbWVH,728964960364886200053,described_by_source,,
