class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,work_location,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,member_of,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/84quSACff9vM,patron of the arts,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,related_to,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,notable_work,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,interested_in,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,catalog_identifier,,,,,,,,,,,,,
Agent,Giovanna d'Aragona,Giovanna d'Aragona.md,Giovanna d'Aragona,PndEj8FtSonb,449507083021256120592,present_in_work,,,,,,,,,,,,,
