class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,identifier,https://lyra.unil.ch/agents/307,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E8PzDPXNKJm8,EDIT16,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jfbacU6KKbXB,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia Veniera,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,related_to,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15946
Agent,Pietro Gradenigo,,,Pietro Gradenigo,Pietro Gradenigo.md,hJLt5YvPFGMq,810712533830130033746,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E8PzDPXNKJm8', 'label': 'EDIT16'}",CNCA6229
