class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,member_of,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,related_to,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,notable_work,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,interested_in,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,catalog_identifier,,,,,,,,,,,,,,
Agent,Scipione Delle Palle,Scipione Delle Palle,Scipione Delle Palle.md,MfCPqcgP6Ahu,405543278932919521233,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q109996866
