class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,described_by_source_value,described_by_source_label
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,work_location,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,member_of,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtXDRUo7kviy,painter,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,related_to,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,notable_work,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,interested_in,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,catalog_identifier,,,,,,,,,,,,,,
Agent,Paolo Guidotti,Paolo Guidotti.md,Paolo Guidotti,2crP46brsdr4,12616347523044581444,described_by_source,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017)
