class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=14806,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YJP9QUN4Mbfw,Vittoria Colonna,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,part_of,,,,,,,,"Vittoria Colonna, III",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bcRKeoRwLYe,(van Dooren 1992),,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CJumkhmB57N,abandonment,,,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UMZHj49VFcAe,skerry,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XF9vnVnjvEzN,watercraft,,,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Provo tra duri scogli e fiero vento,,,Provo tra duri scogli e fiero vento,Provo tra duri scogli e fiero vento.md,LWAFHU2LUDx4,381635421845613793139,text,,,,,,,,,,,,,,,,,,,,,,,"Provo tra duri scogli e fiero vento
l'onde di questa vita in fragil legno;
l'alto presidio e 'l mio fido sostegno
tolse l'acerba morte in un momento.

Veggio il mio male e 'l mio rimedio spento,
il mar turbato e l'aer d'ira pregno,
d'atra tempesta un infallibil segno,
e 'l valor proprio al mio soccorso lento.

Non ch'io sommerga in le commosse arene
temo, né rompa in perigliose sponde,
ma duolmi il navigar priva di spene.

Almen se morte il ver porto m'asconde,
mostrimi il falso suo, ché chiare e amene
ne parran le sue irate e turbide onde."
