class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,identifier,http://www.wikidata.org/entity/Q823060,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,work_location,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5jRWaYbHHcZc,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia Veneziana,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,occupation,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EGhZrKVC8j78', 'label': 'parent'}",Torquato Tasso,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5625.0,
Agent,Bernardo Tasso,,,Bernardo Tasso,Bernardo Tasso.md,SPXjFVUQcvyS,503053084741323855960,present_in_work,,,,,,,,,,,,,,,,,,,
