class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uj7uWMw9v9H7,Teofilo Folengo,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,part_of,,,,,,,,Finisce lo Chaos del Tri Per Uno. De aurea urna qua includitur Eucharistia,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KSxFDVfDSxFT,110.0,Chaos del tri per uno,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UR9WWTiYMbWy,devotion,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bnvEv4i9tErt,ars combinatoria,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,poetic_type,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,metre,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Urnula quam gemmis auroque; nitere videmus,"Praise to the Eucharistic urn, and its hidden content. But also it can be interpret as the urn of aleatoric outcome?",,Urnula quam gemmis auroque; nitere videmus,Urnula quam gemmis auroque; nitere videmus.md,LeBrD9zpKiGq,384541931542489505189,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Cw25wyzbgnsZ,Pandora's box,,,
