class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,identifier,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,described_by_source,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,work_location,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,member_of,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,occupation,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,related_to,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,notable_work,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,interested_in,,,,,,,,,,,,,
Agent,Prospero Polelli,,,Prospero Polelli,Prospero Polelli.md,HGkBtvfsQteS,314874828851652639312,catalog_identifier,,,,,,,,,,,,,
